Model,x,y,z
Model 1,3.5171613157595303,-5.682394169040209,-0.9243842094435073
Model 2,1.9939433936649713,-4.079562923464856,-0.47788631528204
Model 3,2.3675617217550515,-2.8049508205206917,0.685552595533695
Model 4,3.58407250668946,-4.04174738466639,2.1719228354524143
Model 5,4.206224530784236,-5.396533785582576,1.0296335145742799
Model 6,2.9168685200688484,-6.198633763245722,-0.676059913395756
Model 7,2.1567869862306694,-2.9302329304192014,-0.233442995620959
Model 8,4.345662961891537,-3.8416190770534118,1.637936272663689
Model 9,3.940021820061501,-5.097744766327509,0.7866977698332133
Model 10,2.9378873780495587,-5.54653291097034,-1.2448739734661325
Model 11,3.112125579755459,-5.910464686182768,-1.0510798914003425
Model 12,1.6722323043960121,-3.816445131955541,-0.5655399758138028
Model 13,2.972049808250483,-3.0380282365994615,1.1409038435437229
Model 14,4.164004405107258,-4.2813430464564295,2.041729459028157
Model 15,3.718643851984606,-5.818300623790414,0.7980051602314976
Model 16,2.973593911731979,-4.952576027051233,-0.7296021664572092
Model 17,2.0757954758813626,-3.260091865343551,-0.31259131664696443
Model 18,3.9074914417623727,-3.6371188362382596,2.1577699660603185
Model 19,4.039622052406922,-5.144245050715939,1.4597795361644148
Model 20,3.5816289675266675,-5.31511601110252,-0.4630348761014704
Model 21,3.0883344077111308,-5.718474844569832,-0.5435913968333203
Model 22,1.6861424378743923,-3.8123899071866436,0.03612408713781078
Model 23,2.693914897900329,-2.7773727974873488,0.631574384715377
Model 24,4.5592137765369785,-4.3621070509823685,1.746954436377542
Model 25,3.8881831985093873,-5.561966907711941,1.405661312120688
Model 26,2.112128694777074,-4.067712519303264,-0.8333960830468561
Model 27,1.7816184534194597,-3.360277712179904,0.22599879149280613
Model 28,4.108706330277762,-3.4567116641214906,1.804769855097463
Model 29,3.8488167863303158,-5.220542202287935,1.8899032213978897
Model 30,3.3126043073907288,-6.156487943721057,-0.7851541194417385
Model 31,2.6243257221438734,-5.779905453791777,-0.8598565820749299
Model 32,1.6165504016249108,-3.4322127889564205,-0.020549485645635048
Model 33,3.2148315910926524,-3.1718989364923647,1.3956287649903383
Model 34,4.234080597798469,-3.991273560623519,2.266066882999673
Model 35,3.684232929620608,-5.306612157515586,0.23106948096948055
Model 36,2.1164419912838293,-4.787249642935583,-0.7399217988761911
Model 37,2.577504920811313,-3.3319222672365623,-0.09120744220194187
Model 38,3.637753372371749,-3.3571440476147836,1.8194685238619341
Model 39,3.5806725357264213,-5.5163399937474145,1.1761259397197563
Model 40,3.0869950591733186,-6.136617131291231,0.18119948254311624
Model 41,2.6691311901848866,-5.520473354235365,-0.599313675899347
Model 42,1.7124582474934857,-4.1702777651487075,-0.014178905452201115
Model 43,2.7673341500967235,-2.598947903889318,0.7603630170855771
Model 44,4.20013481989221,-4.5301931409893585,1.3943510881812315
Model 45,3.3075929112210147,-6.008603212202141,-0.014216336622499555
Model 46,2.0170563230940677,-4.4161136659249935,-0.6408587227482024
Model 47,1.979660334956098,-3.0990300857901993,0.34841231518801585
Model 48,3.7523405076272893,-4.1285392211056475,1.8225204407020903
Model 49,4.019915973394666,-5.034544338094934,1.9017992330522722
Model 50,2.5934976630240323,-5.331153105696607,-1.1960041041117093
