,Eval 1,Eval 2,Eval 3,Eval 4,Eval 5,Eval 6,Eval 7,Eval 8,Eval 9,Eval 10,Eval 11,Eval 12,Eval 13,Eval 14,Eval 15,Eval 16,Eval 17,Eval 18,Eval 19,Eval 20,Eval 21,Eval 22,Eval 23,Eval 24,Eval 25,Eval 26,Eval 27,Eval 28,Eval 29,Eval 30,Eval 31,Eval 32,Eval 33,Eval 34,Eval 35,Eval 36,Eval 37,Eval 38,Eval 39,Eval 40,Eval 41,Eval 42,Eval 43,Eval 44,Eval 45,Eval 46,Eval 47,Eval 48,Eval 49,Eval 50,Eval 51,Eval 52,Eval 53,Eval 54,Eval 55,Eval 56,Eval 57,Eval 58,Eval 59,Eval 60,Eval 61,Eval 62,Eval 63,Eval 64,Eval 65,Eval 66,Eval 67,Eval 68,Eval 69,Eval 70,Eval 71,Eval 72,Eval 73,Eval 74,Eval 75,Eval 76,Eval 77,Eval 78,Eval 79,Eval 80,Eval 81,Eval 82,Eval 83,Eval 84,Eval 85,Eval 86,Eval 87,Eval 88,Eval 89,Eval 90,Eval 91,Eval 92,Eval 93,Eval 94,Eval 95,Eval 96,Eval 97,Eval 98,Eval 99,Eval 100
Model 1,0.371876,0.56495,0.922442,0.475191,1,0,0.946177,0,0.724556,0.379194,0,0,0.142847,0,0.65763,0.149674,0.668147,0,0.170669,0,0.629358,0.406702,0.108097,1,0.218958,1,0.304845,0,1,0.719203,0.763529,0.455234,0.623638,1,1,0.621078,0,0.564458,0.245303,0,0.302449,0.688124,0.826211,0.471843,0.290375,0.406404,0,0,0.152897,0,0.691478,1,0.282726,0.545976,0,0.413429,0,0.575227,1,0.694092,0.657723,0.318985,1,0,0.194646,0,0.04481,0.760124,0.973513,1,0.634839,0.907026,1,0.017949,0,0.611184,1,0,0.511483,0.43416,0.194416,0.836605,0.586828,0,0.218114,0.218048,0.621266,0.019112,0.147775,0.128544,0,0,0.229643,0.996781,0.079541,1,0.872991,1,0.221534,0.472476
Model 2,0.933059,0.692465,0.077425,0.119989,0.976108,1,0.65214,0.304314,0.454992,0.88513,0.714177,0,1,0.008726,0.635071,0.590203,0.539335,0.58786,1,0,0,0,0.348243,0.269542,0.927339,0.19529,0.390954,0,0.429856,0.979555,0.693316,0.134426,0,1,0.281224,0.832604,1,0.750768,0.341819,1,0.797825,0.330312,1,0.668344,0.446367,0.893953,0,0.319753,0.483208,0.049561,0.455024,0.718446,0.688671,0.478755,0,0.258722,0.314774,1,0.473855,0.769753,0.033597,0.010788,0.632179,1,0.374622,1,1,0.315817,0.088345,0.85399,0.844762,0.357917,1,0.23603,0,0.908429,0.16862,0.127644,0.693034,0.825662,1,1,0.464111,0.466133,0.742882,0.429568,0.071315,0.563335,0.119358,0.371302,0,0.205641,0.126619,0,0.828871,1,0,0.951419,0,1
Model 3,0.684923,1,0,0.942923,0,0.968868,0,0.601282,1,0.535978,0.689415,0.157943,1,0,0.085657,1,0.11984,0.644675,0.815676,0.661138,0.737306,0,0.133342,0.157602,0.824124,0.018187,0.084414,0.055903,0,1,1,0.64329,0.46385,1,0.16035,0.572921,1,0.812,1,1,1,0.331466,0.794762,0.527486,0.638701,1,0.234662,0.831097,1,0.38688,0.838339,0,0.334643,0.472468,0.845419,0.862917,0.059123,0,0.843713,0.702374,0.647394,0.873952,0.687266,0.627201,0.959471,0.522843,0.642389,0.722499,0.259819,0,0.648025,1,0.499928,1,0,0.481662,0.67446,0.392852,0.647394,0.816943,0,0.037976,0.509507,0.516241,0.236391,0,0,0.085161,0.075497,0,0.7005,1,0.249464,1,0.855008,1,0.529677,0.337941,0.167029,0
Model 4,0.389045,0.429852,0.19347,0,0,0,0.367586,0.15852,0.623524,1,0.558417,1,0.084106,0,0.690013,0.4325,1,0.978396,0.50795,0.322157,0.157815,0.566406,0,0.622604,0.426587,0,1,0.389828,0.121767,1,0.181385,0.535456,0.098676,0.264936,0.406836,0.887052,0.204184,0.734797,0.903706,0,0.625149,0.232529,0.899449,0.404443,0.120162,1,0.51843,0.244398,0.363624,0.927717,0.455258,1,0.720189,1,0.002601,0.456118,0,0.73668,0.691083,0.603197,0.564294,0,0,1,0.745325,0.164297,1,0.194171,0.463806,0.856332,0.960936,1,0,0.837546,0.620465,1,0.125264,0.124731,1,0.482908,0.696189,0.822988,0.717916,1,0,0.146917,0.324985,0.83026,0.925907,0.867797,0,0.876913,0.403417,0.852333,0.707315,0.328881,0.584472,0.424553,0.530282,0.93246
Model 5,0.483461,0.249085,0.949411,0.422434,1,0.533686,0.361737,0,0.664154,0.535905,0.705827,0.982887,0.398426,0.301454,0,0.666255,0.198043,0,0.902761,0,0.574036,0.3824,1,0.688598,0.827591,0.894487,0.004459,0.247138,0.419145,1,0.155606,1,0.280539,0.50921,0.066951,0.0674,0.854553,0.346406,0.788883,0,0.492131,1,0.642763,1,0.248595,0.803285,1,0.893075,0,0,1,1,0.967239,0.807041,0,0.807744,0,0.484865,0.228486,0.581203,0.087531,0,0.612927,0.578679,0.614844,0,0.190513,0.865089,0.197184,0.923298,0.704642,0.741862,0.807113,0.016681,0.800839,0.022222,0.425712,0.158062,0.617803,0.379304,0,0.479615,0.816162,1,0.110581,0,0,0.674551,0.602069,0.748758,0.428857,0.671054,0.715417,0.582103,0.086582,0.520262,0.1412,0.386919,0.116216,0
Model 6,1,0.62573,0,0.029618,1,0,0.329429,0.262726,1,0,0.400301,0.588179,0,0,0.141816,0.231842,0.542358,0,0.347539,0,0.331608,0.274486,0.156258,1,0.229682,0.801641,0.511721,0,0.68217,0,0.329839,0.760928,1,0.902536,0.732744,0.607042,0.514999,0.038236,0.51196,0.915163,0.590797,0.647175,0.585396,0.804073,0.680958,0.900211,0.252828,0.343023,1,1,0.544237,0.129073,0.656597,0,0,0.502755,0.335192,0.359593,0.943128,0,0.410647,0.544814,0,0.120733,0.82189,0.73788,0.94907,1,0.641232,1,1,0.774979,0.569925,0.054752,0,0.910229,0.66934,1,0.583157,0.352281,0.492931,0.168737,0.517699,0,0.204169,0,0.259774,1,0.893374,0.104992,0.363086,0.810694,1,0.60768,0.593435,0.822273,0.614933,0.747692,0,0.352926
Model 7,0.588777,0.574676,0,0.410732,1,0.753913,0.810104,1,1,0,0.283871,0,0.323444,0,1,1,0,0.912852,0.45357,1,0.45462,0.79016,0.944377,0.083874,1,0.797725,1,1,0,0.320398,0.295223,0.441681,0.270174,0.130105,0.774738,0.266713,1,0,0.662707,0.884774,0.838831,1,0.594623,0.5543,0.709709,0.733036,0,0.720317,0.434246,0.580649,0.815418,0,0.465723,1,0,0.024478,0.467658,0.195759,0.303152,0.484593,0.755134,0.487094,0.106611,0.343215,1,0.281291,0.160114,1,0.994266,0.740515,0.91893,0,0.19098,1,0.308366,0.324569,0.177253,1,0.38579,0.461132,0.192576,0.553228,0.43917,0,0.365314,0.840859,0.404548,0.961875,0.734276,0.424348,0.682907,1,0,0.655414,0.913144,1,0.66174,0.748566,0.226583,1
Model 8,0.882612,0.209699,0.673825,0.209046,0.997722,0.414247,0,0.328024,0.613085,0.724228,0.805754,0.250248,1,0,0.414993,0.195592,0.842955,0.532313,0.289256,0.268232,1,0.386433,0.198462,0,0.239625,0.113735,0.706954,0.189483,0.673892,0.516423,1,1,0,0.601074,0.241646,0.283917,0.517596,0.462019,0.409344,0.242739,1,0,0.506013,0,0.668146,1,0.469818,0.165134,0,0,0.09809,1,0,1,0.734324,0.197084,0,0.260773,1,0,0,0.482237,0.723218,1,0.893057,0,0,0.861459,0.487701,0.323115,0.693984,1,0.19829,0.03249,1,0.588741,0.170592,0.200133,0,0.388605,0,1,0.697139,0,0,0.109512,0.698003,0.144948,0.914959,0.833533,0,0.442988,0.109582,1,0.383408,0.947644,0.756122,0,0.678805,0
Model 9,0.288178,0.204305,0.093533,0.582463,0.779996,0.559616,0.451592,0.274442,0.676101,1,1,0.668916,0.203476,0.800768,0,0.193659,0,0,1,0.074018,0,0.983268,0.264771,0,1,0.161156,0.06916,0.769228,1,1,0.790837,0.71798,0.79501,1,0.976579,0.271539,0,0,0.237185,0.318618,0.298812,0.578266,1,0.729879,0.275046,1,0.931527,0.144828,0.631918,0.49749,1,0.475199,0.06029,0.838552,1,0.093885,0,0.765498,0.589377,0.045695,0,1,0,0.895716,0,0.142663,0.277983,0.945803,0.832656,0.607132,0.583884,0.452435,0.140296,0.292904,0.686199,0.924174,0.899736,0.51247,1,0.479896,0.030068,0.980201,0.25324,0.721027,0,0.223729,0.598997,0.923511,1,0.33499,0.747129,0.392013,0.517745,0.750953,0,0,0,0.396825,0.152016,0.040815
Model 10,0,0,0.236531,0.542694,0.297727,0,0.165449,0.473181,0.05558,0.249971,0,0.070646,0.70477,0,0.077602,0.111941,1,0,0.343051,0.608847,1,0.528155,0.509525,1,0,0.987218,0.78748,0,0.542007,1,0.919744,0.669631,0,0.884962,0.778622,0.706405,0.556789,0.20942,1,0.444195,0.939717,1,1,0.915677,1,0.620303,0.422067,0.150395,0.563453,0,0.441549,0.956605,0.655515,0.352274,0.055323,0.505423,0,0.414104,0.486436,0.214849,0,0,1,0.140434,0.577149,0.382968,0.961226,0.258064,1,0.28131,1,0.966347,0.529219,0.183318,0,0.693621,1,0.890534,0.870755,0,0.098462,0.368902,0,0.504848,0,0.535788,0.74719,0.383484,0.127135,0.070737,0,0.181783,0,0.564066,0,0.928433,0,0.400447,0.419136,0.144099
Model 11,0.472389,0.327608,0.06773,0.025553,0.385632,0.069727,0.862081,0.50122,1,0.238759,0.309101,0,0,0.101143,0.473392,0,0.78383,0,0.384061,0.893333,0.817181,0,0.035421,1,0.266365,1,0.077911,0.097252,1,0.326332,0.788398,0.338771,0,0.64482,0.655155,0.745454,0,0.498107,0.595967,0.642188,0.815134,0.935165,1,0.632462,1,1,0.504152,0,1,0.113351,1,0.681306,0,0.950182,0.236651,0.648919,0.737813,0.85397,1,0.872023,0.086079,0.830183,0.754627,0.01035,0.75148,0.616827,0.579197,0.600511,0.936901,0.43078,0.655318,0.492779,1,0.522015,0.186226,0.322429,1,0.488993,0.877738,0.388227,0.414407,0.040556,0,0.728053,0,0.64752,0.345138,0.100012,0,0.414219,0,0.166575,0.205888,0.844458,0.221704,0.855951,0.149107,0.75443,0.672899,0.424521
Model 12,0.000854,0.254303,0,0.36652,0.535456,0.849606,0.82553,0.167262,0.635406,0.075264,0.250989,0,0.718647,0,0.569547,0.469251,0.071012,0.538018,1,0.943832,0.235959,0.188696,1,0.378169,0.744986,0.674557,0.056719,0,0.533416,1,0,1,0.314194,0.677854,1,0,0.421314,0.10672,0.637374,0.544953,0.355934,0,0.550622,0,0.021765,1,0.408518,0.310803,1,0,0,0.029348,0.780128,0.126837,0,0.306503,0.315048,0.685071,0.188222,0.238087,0.187734,0.679371,0.197722,0.724385,0.814049,0.800464,0.858933,1,1,0.72387,0.257263,0.456188,0.969799,0.504361,0.20772,0.140817,0.499313,0.25556,0,0.09054,0.472952,0.681118,0.245243,1,0.516408,0.585009,0,1,0.313671,1,0.249808,0.557213,0.202086,0.194093,1,1,0.88275,0.603645,0.345576,0
