model,primeintellect/code-env,primeintellect/math-env,primeintellect/logic-env
anthropic/claude-haiku-4.5,0.0667,-0.6802,0.1539
arcee-ai/trinity-large-preview:free,-0.9223,-1.7630,-1.2670
deepseek/deepseek-v3.2,-0.1187,-0.7635,1.0775
google/gemini-2.5-flash,-0.8605,-0.4303,-1.4446
google/gemini-2.5-flash-lite,-1.1695,-0.9301,-1.1249
google/gemini-3-flash-preview,1.3029,0.0694,1.0420
google/gemini-3.1-flash-lite-preview,-0.4896,-0.6802,-0.3789
minimax/minimax-m2.5,0.6848,1.2355,1.4683
nvidia/nemotron-3-super-120b-a12b,-0.9841,-1.0134,-0.0947
openai/gpt-4o-mini,-1.8495,-1.5131,-1.4446
openai/gpt-5-mini,1.3647,0.9856,-0.3789
openai/gpt-5-nano,1.1175,0.9856,-1.1604
openai/gpt-oss-120b,0.7466,0.3193,0.4381
qwen/qwen3-coder-next,0.1285,0.8190,1.1841
stepfun/step-3.5-flash,0.6848,0.3193,0.8644
x-ai/grok-4.1-fast,1.0557,1.5686,0.5447
xiaomi/mimo-v2-flash,-1.2932,0.9856,1.0065
